Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Cartel De Santa - Shorty Party,11,,16,,20035438,142016895
Ariana Grande - Focus,22,3.0,8,,12208662,141942832
KAROL G - Culpables,24,,89,,6823544,141937323
Gotye - Somebody That I Used To Know,25,,129,,8841010,141821380
Carly Rae Jepsen - I Really Like You,34,,15,,7684232,141537318
JENNIE - ExtraL,11,,26,,21084605,141533506
Lenin RamÃ­rez - Todo Lo Fue,14,,85,,11268175,141183025
Katy Perry - Roar,65,14.0,2,(x3),5549675,141090106
Enrique Iglesias - Bailando - Spanish Version,62,,39,,3132780,141087933
Fetty Wap - Again,37,,43,,10974648,140963752
BeyoncÃ© - 7/11,56,,17,,5440544,140962617
Drake - Signs,17,,19,,15924680,140710058
Bebe Rexha - I Got You,29,,55,,7079065,140554199
Halsey - Bad At Love,26,,68,,7147419,140454553
Cardi B - Please Me,15,,20,,16331768,140425335
Joji - Die For You,13,,21,,21735446,140317047
Little Mix - Shout Out to My Ex,21,,17,,13092597,140269572
XXXTENTACION - BAD!,13,1.0,6,,22370036,139961391
Blessd - YOGURCITO REMIX,15,,93,,10638093,139817579
David Guetta - Bad,30,10.0,2,(x2),7673364,139791905
Sia - Cheap Thrills,38,,59,,5068632,139773219
Sage The Gemini - Now and Later,19,,29,,10654068,139602315
Quevedo - PLAYA DEL INGLÃS,16,,71,,10972453,139255452
Lil Uzi Vert - The Way Life Goes,23,,44,,9341555,139089148
Chino & Nacho - Andas En Mi Cabeza,44,,105,,3629891,139073573
Post Malone - Cooped Up,13,,18,,19140766,138848194
Bellakath - Reggaeton Champagne,14,,78,,11189634,138777705
Macklemore & Ryan Lewis - Downtown,30,,16,,8352728,138661832
Taylor Swift - Now That We Don't Talk (Taylor's Version) (From The Vault),8,1.0,2,(x1),39935856,138651995
Marshmello - Numb,20,,110,,7723384,138606962
Jasleen Royal - Heeriye,11,,33,,15501402,138568228
Ava Max - My Head & My Heart,18,,59,,9344754,138369251
The Weeknd - Sacrifice,11,2.0,3,(x1),29522371,138231128
Oscar Maydon - Amigos? No.,14,,97,,10867166,137878798
Gustavo Mioto - Eu Gosto Assim - Ao Vivo,18,,99,,8970847,137744131
Alan Walker - Alone,21,,36,,9173336,137666887
Tones And I - Never Seen the Rain,22,,74,,7767566,137556302
Rihanna - Where Have You Been,14,,81,,11853845,137433878
Anuv Jain - Jo Tum Mere Ho,12,,69,,13103778,137248620
Ariana Grande - Donât Call Me Angel (Charlieâs Angels),11,2.0,3,(x1),32667288,137203073
Doechii - What It Is (Solo Version),15,,92,,10402536,137166101
Fuerza Regida - ROSONES,14,,96,,11782206,137091068
MC Tuto - Barbie,11,,39,,17869916,136872070
Billie Eilish - bad guy,13,1.0,9,,21458729,136746503
JAÅ¸-Z - Ni**as In Paris,80,,132,,2527335,136437369
Lady Gaga - The Cure,19,,33,,11818268,136360277
Taylor Swift - The Tortured Poets Department,6,1.0,6,,59746801,136276197
LISA - Born Again,9,,13,,31967106,136217783
Frank Sinatra - Have Yourself A Merry Little Christmas - Remastered,11,,37,,22759317,136114858
Taylor Swift - ...Ready For It?,19,,13,,17763978,136086748
Naughty Boy - La La La,32,,15,,15218968,135990994
Sabrina Carpenter - Nobodyâs Son,10,1.0,10,,24585023,135888378
Shakira - Me EnamorÃ©,26,,71,,6525973,135848478
Rihanna - Diamonds,33,,77,,10810000,135792805
Alex Rose - Jangueo,27,,122,,5625362,135776730
Famous Dex - JAPAN,20,,34,,10795322,135679938
Robin Schulz - Headlights,35,,21,,7022425,135536701
Major Lazer - Que Calor,23,,77,,7093193,135525018
Elton John - Hold Me Closer,13,,25,,14768366,135375171
Eminem - 'Till I Collapse,53,,149,,3965342,135371701
Mora - 512,18,,55,,9941905,135206532
Ozuna - Solita,26,,75,,6811201,135069082
Clave Especial - COMO CAPO,13,,59,,13357618,135025669
MC Fioti - Bum Bum Tam Tam,21,,66,,7524726,134979902
Lil Uzi Vert - Watch This - ARIZONATEARS Pluggnb Remix,13,,54,,13253496,134770524
Ed Sheeran - Dive,21,,11,,22520144,134677281
Kina - Can We Kiss Forever?,26,,131,,5804236,134533265
Dimitri Vegas & Like Mike - Thank You (Not So Bad),15,,146,,9747370,134517656
Dalex - Cuaderno,21,,66,,8152027,134198033
Travis Scott - TELEKINESIS,11,,24,,21881751,134164423
Nicky Jam - X - Remix,19,,37,,11380927,134146384
Piso 21 - Te Amo,25,,76,,6583634,134144734
Selena Gomez - Look At Her Now,14,1.0,9,,21790923,133920158
Raim Laode - Komang,15,,61,,12709530,133900259
PolimÃ¡ Westcoast - ULTRA SOLO REMIX,15,,44,,12640238,133879193
Trippie Redd - Miss The Rage,18,,19,,17348179,133872952
Becky G - Shower,41,1.0,10,,6395087,133754216
Rihanna - Kiss It Better,27,,100,,10698387,133700370
BANNERS - Someone To You,26,,121,,6003630,133590328
Niall Horan - This Town,23,,22,,12612335,133465169
Taylor Swift - All Of The Girls You Loved Before,11,,12,,22778018,133453137
BLACKPINK - Lovesick Girls,15,1.0,6,,26331588,133333407
Olly Alexander (Years & Years) - King,34,,21,,7173514,133115545
Queen - Somebody To Love - Remastered 2011,22,,50,,9260667,132982997
Olivia Rodrigo - enough for you,12,,11,,27845206,132980288
Tove Lo - Stay High - Habits Remix,44,,12,,5045008,132875683
V - Slow Dancing,11,,20,,17648104,132791421
BTS - FYA,6,1.0,5,,38415505,132693617
P!nk - Cover Me In Sunshine,19,,59,,8745047,132526342
AronChupa - I'm an Albatraoz,46,,21,,4552106,132335496
Big Shaq - Man's Not Hot,19,,36,,10229463,132292671
Henrique & Juliano - ArranhÃ£o - Ao Vivo,20,,84,,7524288,131535892
Post Malone - Paranoid,13,1.0,4,,31182644,131467348
Sheppard - Geronimo,43,,18,,5387659,131464626
Tion Wayne - Body (Remix),12,,17,,18311771,131383409
XamÃ£ - MalvadÃ£o 3,15,,33,,11140475,131288711
Troye Sivan - Rush,13,,31,,15561397,131281264
Taylor Swift - Love Story (Taylorâs Version),15,1.0,8,,18627530,131094398
Gabito Ballesteros - LOU LOU,12,,43,,14019051,131070357
Katy Perry - Last Friday Night (T.G.I.F.),15,,144,,9189220,131047657
"Taylor Swift - ""Slut!"" (Taylor's Version) (From The Vault)",9,1.0,3,(x1),38691553,130793473
Drake - Whatâs Next,12,1.0,2,(x1),28117894,130679820
Drake - Pop Style,27,,23,,11898517,130356369
Lana Del Rey - Radio,15,,125,,9324153,130299132
Bryson Tiller - Exchange,45,,65,,4020032,130212326
BTS - NORMAL,6,1.0,6,,36362653,130203801
Taylor Swift - Eldest Daughter,5,1.0,10,,63984794,130164268
Adele - Water Under the Bridge,25,,51,,7530043,130072233
Myke Towers - Si Se Da,22,,97,,6822944,130043307
J Balvin - Mi Gente,14,,15,,15823808,129880923
Peso Pluma - LAGUNAS,15,,113,,9524159,129855425
Lady Gaga - Stupid Love,14,,13,,24400673,129827120
Post Malone - Hollywood's Bleeding,13,1.0,5,,28946369,129787906
Tove Lo - Talking Body,38,,27,,6208542,129753440
Wisin - Fiel - Remix,14,,29,,13822347,129729188
Jennifer Lopez - Ain't Your Mama,30,,54,,5758619,129575363
"benny blanco - I Canât Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",13,,21,,16111773,128974936
Labrinth - Still Don't Know My Name,20,,53,,9488078,128666708
Milly - No Te Enamores - Remix,19,,58,,8522956,128657047
G-Eazy - Good Life,17,,25,,12786896,128556553
Sam Smith - Money On My Mind,52,,13,,4103335,128529242
Silet Open Up - TABOLA BALE,12,,59,,12941990,128516479
Ali Gatie - What If I Told You That I Love You,15,,29,,13658542,128458623
Nevada - The Mack,20,,32,,8814434,128422588
Petit Biscuit - Sunset Lover,25,,53,,7245899,127926039
Alex Warren - FEVER DREAM,9,,21,,20313162,127840152
Jessica Darrow - Surface Pressure,13,,23,,13479659,127800585
Post Malone - Enemies,13,1.0,7,,25861671,127662405
Niall Horan - Too Much To Ask,18,,37,,11073444,127598111
Calvin Harris - Rollin,17,,38,,11604438,127584680
Sebastian Yatra - Por Perro,22,,84,,6707725,127370734
Alvaro Soler - La Cintura,18,,42,,10848362,127107786
Fall Out Boy - Centuries,53,,21,,5282344,126934681
Lorde - Team,57,,14,,3798882,126720090
Taylor Swift - Florida!!!,6,1.0,10,,50743539,126620254
YOASOBI - ã¢ã¤ãã«,14,,95,,10216723,126551606
Taylor Swift - Ruin The Friendship,5,,11,,60899507,126543884
Lil Uzi Vert - Sanguine Paradise,18,,38,,10891403,126518401
Ruth B. - Lost Boy,43,,79,,3787147,126471242
TWICE - The Feels,17,,57,,9255118,126459551
Maluma - HawÃ¡i - Remix,15,,17,,15884698,125857481
Becky G - Chanel,11,,49,,13365593,125852457
Ofenbach - Wasted Love,20,,90,,7483373,125451999
The Weeknd - In The Night,28,,28,,7386246,125286757
Khalid - Talk,8,,17,,17410486,125251511
Billie Eilish - Happier Than Ever - Edit,19,,70,,8274552,125073413
KAROL G - Verano Rosa,12,,57,,13024924,124974454
DJ Snake - Turn Down for What,59,,14,,4322985,124742389
Tommy Richman - DEVIL IS A LIE,10,,39,,15602091,124034151
Alejo - Pantysito,17,,55,,9279709,124015852
Bernadya - Satu Bulan,10,,48,,15052227,123997791
Tiago PZK - Salimo de Noche,17,,72,,9289460,123950882
Wallows - Are You Bored Yet?,23,,105,,6632270,123943551
Daddy Yankee - Vuelve,23,,71,,6653418,123879341
Ozuna - Unica,21,,63,,7754505,123578496
"Bizarrap - Villano Antillano: Bzrp Music Sessions, Vol. 51",14,,45,,11083217,123525427
BTS - Like Animals,6,1.0,8,,34723218,123425431
Pop Smoke - Got It On Me,19,,41,,10606428,123416577
Israel & Rodolffo - Batom de Cereja - Ao Vivo,17,,55,,9175119,123254916
Easykid - Shiny,10,,33,,16081204,123103209
Meghan Trainor - Lips Are Movin,34,1.0,9,,7073920,123100945
Curtis Waters - Stunnin',18,,68,,8493044,122955379
Future - Selfish,18,,45,,9935891,122944542
Billie Eilish - my future,14,1.0,5,,23520611,122773561
Imagine Dragons - Follow You,19,,75,,7740318,122688367
Regard - Secrets,17,,64,,8515783,122645844
Billie Eilish - TV,16,,27,,14088818,122634392
Apache 207 - Roller,19,,66,,8395606,122348079
Taylor Swift - Vigilante Shit,6,1.0,9,,46504014,122300185
BTS - Aliens,6,1.0,7,,35259612,122276278
CNCO - ReggaetÃ³n Lento (Remix),20,,56,,7716858,121993437
Bruno Mars - Versace on the Floor,30,,80,,5137524,121744296
TiÃ«sto - Wasted,44,6.0,7,,5984920,121736213
David Guetta - Lovers on the Sun,40,,13,,5798766,121682700
Banjaare - Bairan,8,,35,,17151401,121643594
Taylor Swift - Delicate,18,,26,,12788750,121403504
"Daya - Sit Still, Look Pretty",36,,74,,4595306,121398109
Anuel AA - Quiere Beber,17,,45,,9739397,121332715
Kanye West - All Mine,11,2.0,3,(x1),27716117,121282862
Isabel LaRosa - favorite,11,,68,,13599140,121077755
The Rare Occasions - Notion,17,,67,,8821888,120835864
Wisin - Vacaciones,31,,79,,5214524,120790549
Kesha - Praying,20,,37,,9957610,120718178
Jason Derulo - If It Ain't Love,20,,38,,8780099,120571011
Paulo Londra - Plan A,10,2.0,4,,24746212,120543943
BTS - they donât know âbout us,6,1.0,10,,32500530,120335605
The Weeknd - Often,62,,41,,5054030,120070975
Logic - Homicide,12,2.0,3,(x1),27894553,119989488
Young Miko - offline,11,,68,,13964616,119979074
Lil Uzi Vert - Futsal Shuffle 2020,12,,18,,20451202,119905873
Stormzy - Own It,15,,36,,11310793,119884192
JoÃ£o Gomes - Meu PedaÃ§o de Pecado,16,,57,,9231666,119869288
Justin Quiles - DJ No Pare,21,,85,,6682269,119781316
6ix9ine - KIKA,15,,12,,17735352,119680983
Sebastian Yatra - SUTRA,24,,96,,6224427,119635665
Bad Bunny - CAFÃ© CON RON,9,,30,,20915573,119588725
Jason Derulo - Trumpets,60,,26,,3583542,119271329
Post Malone - Motley Crew,12,,18,,20518441,119099898
Nicky Jam - Polvo,18,,82,,7330583,118844500
S3BZS - MONTAGEM - PR FUNK,13,,90,,10504297,118683547
Shakira - Me Gusta,15,,47,,11157044,118679933
Piche Kota - Bahagia Lagi,12,,89,,10861870,118347183
Trueno - Mamichula,14,,37,,12258388,118185633
Disney - Zoo,13,,113,,10165904,117941680
Jax Jones - Breathe,20,,48,,9283638,117899105
Miguel - Sky Walker,21,,69,,7143348,117642137
Eugenio Esquivel - Alucin,11,,60,,12949130,117509505
Normani - Motivation,14,,42,,10353406,117321765
Taylor Swift - I Can See You (Taylorâs Version) (From The Vault),9,1.0,4,,29892837,117281446
Artemas - if u think i'm pretty,11,,52,,14076739,117190733
Raim Laode - Lesung Pipi,12,,86,,11268657,117072810
Morgan Wallen - Just In Case,12,,49,,14147510,117014630
Nadhif Basalamah - bergema sampai selamanya,14,,151,,9025174,116929786
Calum Scott - Dancing On My Own,32,,70,,4798016,116897730
Queen - We Will Rock You - Remastered,22,,73,,7615977,116777009
Sam Smith - Diamonds,17,,42,,10413301,116651292
Gunna - DOLLAZ ON MY HEAD,22,,69,,7570232,116648110
JuliÃ³n Ãlvarez y su NorteÃ±o Banda - Rey Sin Reina,11,,57,,14242840,116522869
Taylor Swift - Question...?,6,1.0,10,,45085239,116467195
bbno$ - edamame,17,,76,,7800896,116397095
Young Thug - pick up the phone,34,,87,,4277147,116352106
Nicki Minaj - Bed,12,,22,,14917808,116241025
Big Sean - I Don't Fuck With You,51,,34,,3981169,116037513
Bing Crosby - White Christmas - 1947 Version,7,,25,,27628993,115947247
Avicii - The Days,35,5.0,4,,7862217,115777670
Jack Harlow - Tyler Herro,17,,62,,9236771,115611739
Liam Payne - Familiar,18,,57,,10135185,115586518
Vishal Mishra - Pehle Bhi Main,10,,49,,15323148,115580112
KAROL G - S91,11,,41,,14742843,115402739
Nicky Jam - Si TÃº La Ves,30,,117,,4306871,114894480
Brytiago - Asesina,18,,73,,7188038,114816809
One Direction - Steal My Girl,27,2.0,9,,11453605,114774071
Sia - Santa's Coming for Us,14,,71,,14846874,114758972
Oruam - Oh Garota Eu Quero VocÃª SÃ³ Pra Mim,11,,44,,14543305,114672432
Sam Fender - Rein Me In,9,,56,,13861034,114605229
Dj Caio Vieira - FAMOSINHA,13,,137,,9355768,114444942
Miley Cyrus - Wrecking Ball,44,16.0,1,(x5),6033827,114320139
JNR CHOI - TO THE MOON,15,,55,,9614884,114291711
James Arthur - Car's Outside,14,,145,,8553077,114244153
BABYMONSTER - SHEESH,10,,57,,14082210,114212335
OMI - Hula Hoop,28,,26,,6732598,113968894
"Tyler, The Creator - St. Chroma",6,1.0,10,,29514831,113661496
Lil Peep - Star Shopping,23,,152,,5623187,113643496
YNW Melly - Mixed Personalities,17,,59,,8922507,113541444
OneRepublic - Rich Love,18,,49,,9304763,113527123
Taylor Swift - Youâre Losing Me (From The Vault),9,,14,,25767209,113482436
Bill Withers - Ain't No Sunshine,12,,76,,11997888,113367464
AC/DC - Thunderstruck,14,,158,,9004887,113233447
Lil Uzi Vert - P2,15,,21,,18179065,113211830
Tory Lanez - LUV,22,,40,,8807940,113130035
Tinie Tempah - Girls Like,27,,53,,5740481,113048547
KAROL G - CrÃ©eme,21,,114,,6222776,112683252
Doja Cat - Like That,19,,69,,7546129,112619024
Yung Gravy - Betty (Get Money),14,,73,,9050913,112392820
"Kygo - Carry On (from the Original Motion Picture ""POKÃMON Detective Pikachu"")",14,,36,,11997661,112350215
Kane Brown - Be Like That,19,,86,,6929241,112301523
"Metro Boomin - Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",8,,14,,20500463,112285319
Shakira - Soltera,9,,40,,15830929,112216719
Rauw Alejandro - BABY HELLO,11,,51,,13781210,112097926
Esau Ortiz - Triple Lavada,10,,64,,12391431,112019120
Maroon 5 - Wait,21,,67,,7246334,112003633
Drake - Back To Back,41,,55,,3888413,111877007
SZA - Love Galore,23,,73,,6402678,111770526
Snakehips - Don't Leave,17,,40,,9379581,111727169
Nio Garcia - La Jeepeta - Remix,10,,14,,17051952,111620242
Taylor Swift - Honey,5,,12,,53325198,111600386
FloyyMenor - APAGA EL CEL,10,,66,,13073608,111559851
Olivia Rodrigo - get him back!,7,1.0,6,,30243352,111549892
Ant Saunders - Yellow Hearts,14,,45,,9630162,111542926
5 Seconds of Summer - Teeth,15,,46,,9555911,111446926
Chris Brown - Ayo,41,,23,,6012390,111309831
Nakama - DIA DELÃCIA,11,,90,,11333045,111285670
Jeremy Zucker - comethru,21,,111,,6088886,111135224
One Direction - History,34,,29,,7159428,111125951
Clave Especial - TU TU TU,10,,47,,14479516,110664904
Dhruv - double take,16,,65,,8463711,110422596
AC/DC - You Shook Me All Night Long,13,,152,,9863584,110395840
The Kid LAROI - GO,17,,60,,9137903,110331211
Manuel Turizo - Esclavo de Tus Besos,17,,73,,7761767,110198680
P!nk - Walk Me Home,16,,55,,8647234,110034730
Aaron Smith - Dancin,21,,101,,6605984,109888832
Hailee Steinfeld - Capital Letters,14,,34,,11580726,109875183
Kendrick Lamar - N95,8,1.0,3,(x1),37163341,109732617
i-dle - Queencard,12,,101,,10348654,109659143
Selena Gomez - Rare,9,,12,,23340577,109645288
BTS - Merry Go Round,6,,12,,32356230,109633765
Natanael Cano - Amapola,11,,103,,11236755,109535601
Harry Nach - Tak Tiki Tak,17,,76,,7587351,109508977
Drake - Gyalchester,17,,25,,14823651,109393222
Lasso - Ojos Marrones,14,,71,,9107285,109338564
Harry Styles - Daylight,9,1.0,10,,30158062,109292793
Blanco Brown - The Git Up,18,,64,,7922819,109244732
Taylor Swift - exile,10,2.0,4,,30941803,109139485
5 Seconds of Summer - Easier,13,,23,,13581944,109119377
Chris Brown - Questions,17,,56,,7682316,108971155
LISA - LALISA,10,,18,,18455241,108900615
"Alan Walker - Alone, Pt. II",18,,80,,7524185,108858748
J Balvin - Bobo,31,,72,,4385391,108699305
Jason Derulo - Acapulco,17,,90,,7159146,108449508
24kGoldn - CITY OF ANGELS,14,,54,,9681551,107979127
Taylor Swift - The Smallest Man Who Ever Lived,6,,20,,39919938,107941691
Paul McCartney - Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,11,,15,,18378455,107774744
Juice WRLD - Lean Wit Me,19,,84,,7126666,107740635
Ella Henderson - Ghost,36,,23,,4637141,107718733
Linkin Park - Faint,11,,76,,12733778,107714524
Peso Pluma - BYE,10,,44,,14630120,107524582
ZAYN - Still Got Time,17,,46,,9993322,107373959
Natalie La Rose - Somebody,30,,30,,5831086,107267766
Zay Hilfigerrr - Juju On That Beat (TZ Anthem),17,,28,,9428231,107164431
Dr. Dre - Still D.R.E.,14,,29,,12255788,107148517
Thalia - No Me Acuerdo,18,,66,,7460620,106993167
"Olivia Rodrigo - 1 step forward, 3 steps back",10,,13,,24592939,106906942
Ryan Castro - QUEMA,12,,118,,10468655,106807958
ROSÃ - number one girl,9,,46,,17738964,106692196
Lost Frequencies - Black Friday (pretty like the sun),10,,82,,12159771,106527340
Eminem - Venom - Music From The Motion Picture,15,,34,,13202544,106471014
Eliza Rose - B.O.T.A. (Baddest Of Them All) - Edit,12,,52,,11003367,106426241
LE SSERAFIM - Smart,10,,82,,11947662,106364299
"Pritam - Kesariya (From ""Brahmastra"")",11,,33,,12391566,106355474
Rachel Platten - Fight Song,37,,38,,5371926,106317603
BTS - Yet To Come,8,1.0,7,,31936642,106047503
La Pantera - CayÃ³ La Noche,14,,58,,8856103,106044885
Oscar Maydon - Volver Al Futuro,9,,44,,16679633,106031128
Sech - Sal y Perrea,14,,59,,9719971,105896548
Mabel - Mad Love,15,,54,,9823977,105881669
Maisak - SE ME OLVIDA,9,,35,,17431906,105844675
Blxst - Chosen,16,,85,,7601207,105790086
Chappell Roan - Casual,11,,123,,10466799,105767784
Ashe - Moral of the Story,12,,42,,13675094,105594686
Kendrick Lamar - ELEMENT.,16,1.0,10,,21832141,105356912
Charli xcx - Speed Drive (From Barbie The Album),10,,51,,14856558,105340285
Wisin & Yandel - Aullando,18,,109,,6475650,105327096
Don Toliver - NEW DROP,10,,95,,11417363,105310256
Alex Rose - Toda - Remix,20,,103,,6027173,105208507
David Guetta - Crazy What Love Can Do,17,,127,,6873602,105187399
Junior H - ROCKSTAR,11,,96,,10877790,105064049
BeÃ©le - top diesel,12,,140,,9205951,104914480
Drake - Sneakinâ,22,,43,,8062614,104875536
Lady Gaga - Sour Candy,11,1.0,5,,27584074,104865459
David Guetta - Don't Leave Me Alone,15,,42,,10332824,104744850
R3HAB - All Around The World (La La La),15,,59,,9125803,104395994
"Feid - PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",16,,81,,7980618,104092101
Luis R Conriquez - Chula Vente,9,,45,,13676003,103918825
Ozuna - TÃº Foto,20,,73,,6466640,103781272
DJ Snake - You Know You Like It,35,,22,,6651427,103739242
Playboi Carti - RATHER LIE,6,1.0,7,,35008345,103613638
Playboi Carti - Sky,17,,113,,6698063,103602736
Sebastian Yatra - Runaway,15,,57,,9284418,103506300
Anuel AA - Keii,13,,37,,12471842,103435785
Bad Bunny - Un Verano Sin Ti,11,,20,,22085111,103418152
Bad Bunny - Solo de Mi,14,,38,,10172678,103367656
TiÃ«sto - Ritual,16,,72,,7660524,103252399
Burna Boy - Last Last,14,,92,,8184143,103250128
Megan Thee Stallion - Thot Shit,12,,46,,10676414,103136459
Billie Eilish - my strange addiction,13,,16,,18477082,103077145
Drake - Energy,49,,22,,5202432,103068835
Jax Jones - Where Did You Go?,15,,103,,7798443,103010020
The Kid LAROI - Thousand Miles,12,,18,,14937157,102937989
salem ilese - Mad at Disney,14,,46,,10100245,102702394
Diplo - Be Right There,32,,58,,4000881,102677529
Veigh - Novo BalanÃ§o,12,,133,,9377605,102605420
Travis Scott - Antidote,36,,52,,4396483,102513126
Joey Montana - Picky,35,,73,,3548551,102503275
Playboi Carti - EVIL J0RDAN,5,1.0,2,(x1),43887601,102413695
Shawn Mendes - It'll Be Okay,13,,55,,9532818,102378099
George Henrique & Rodrigo - Vai LÃ¡ Em Casa Hoje,15,,66,,8768734,102286371
Omar Apollo - Evergreen,12,,54,,10702261,102275573
Shae Gill - Pasoori,16,,109,,7452437,102225241
Young Thug - Hot (Remix),15,,33,,11338485,102205835
ZAYN - LIKE I WOULD,17,,25,,10057359,102190889
Labrinth - Mount Everest,13,,36,,10663904,102110604
Jess Glynne - Hold My Hand,33,,30,,6004857,102065841
Dimitri Vegas & Like Mike - Instagram,17,,81,,7098297,101939379
Don Toliver - Body,9,,34,,15457872,101924227
Kodak Black - Codeine Dreaming,18,,50,,8413714,101903182
Kodak Black - Angel Pt. 1,7,1.0,10,,23396750,101831542
Trinidad Cardona - Dinero,11,,33,,12653925,101665145
BTS - Take Two,7,1.0,4,,31099380,101631535
Kehlani - Nights Like This,13,,37,,11568466,101573739
Jonas Brothers - Like It's Christmas,10,,76,,15063475,101536974
Megan Thee Stallion - Body,13,,61,,10356930,101256889
Armani White - BILLIE EILISH.,12,,67,,9804554,101156244
The Weeknd - Die For You - Remix,2,2.0,2,(x1),54891152,101104522
MXZI - MONTAGEM XONADA,11,,121,,9875596,100908492
Ariana Grande - twilight zone,7,1.0,9,,26719094,100868047
SZA - Open Arms,11,,82,,11916187,100862936
Dawin - Dessert,34,,56,,4069007,100784104
Lil Mosey - Stuck In A Dream,15,,37,,10615406,100710452
Astrid S - Hurts So Good,28,,76,,4577312,100642692
Bad Bunny - EnsÃ©Ã±ame a Bailar,11,,27,,19758937,100638693
Jason Derulo - Goodbye,14,,45,,9914855,100485345
Post Malone - Spoil My Night,11,1.0,9,,25175356,100446929
Lauv - Mean It,13,,27,,12015729,100198177
BTS - One More Night,6,,14,,28814405,99999447
Camila Cabello - Havana - Remix,16,,50,,8348340,99942863
Shakira - AcrÃ³stico,7,,12,,22818137,99880513
Lady Gaga - The Dead Dance,9,,29,,17250647,99714869
BTS - Please,6,,16,,27967529,99678260
Fujii Kaze - æ­»ã¬ã®ãããã,11,,66,,10748113,99514557
Morgan Wallen - Love Somebody,9,,31,,17574685,99409002
KAROL G - CONTIGO,8,,28,,17246236,99374529
Bad Bunny - FINA,6,1.0,7,,32808436,99315062
Elle King - Ex's & Oh's,34,,56,,3845103,99254269
Alex Warren - Bloodline,9,,33,,15831456,99245582
Dionela - sining,9,,72,,12677056,99213069
Lil Uzi Vert - Myron,16,,32,,13533191,99202953
Jimin - Set Me Free Pt.2,8,,14,,21581293,99104224
Yandel - ExplÃ­cale,22,,101,,5125876,99033405
Post Malone - Stay,11,,11,,23585361,98985894
Tate McRae - It's ok I'm ok,8,,30,,18107048,98966524
Tito Double P - AY MAMÃ,10,,107,,10969388,98822412
James Arthur - Naked,18,,86,,6399541,98819364
Taylor Swift - Mastermind,6,,13,,36843537,98735892
XXXTENTACION - whoa (mind in awe),11,1.0,10,,18505893,98614081
Ed Sheeran - Tenerife Sea,60,,94,,3235261,98613738
Lady Gaga - Just Dance,11,,93,,10908369,98610596
Wolfine - Bella - Remix,18,,81,,6391246,98540698
Young Thug - Hot,13,,46,,9768494,98280474
Rauw Alejandro - Tattoo - Remix with Camilo,14,,63,,8670922,98038935
PEDRO SAMPAIO - JETSKI,9,,60,,12665233,98008278
Kris Kross Amsterdam - Whenever,15,,47,,10007070,97962201
Em Beihold - Numb Little Bug,14,,69,,8220940,97874159
The Chainsmokers - Somebody,15,,58,,7978667,97856504
Ozuna - Baila Baila Baila - Remix,16,,71,,7841458,97814060
Clinton Kane - I GUESS I'M IN LOVE,13,,75,,8949541,97754402
Ozuna - Tu Foto,17,,72,,6267272,97515450
Ed Sheeran - Antisocial,9,1.0,7,,25282995,97470855
blackbear - do re mi,23,,77,,6560095,97386258
Kiesza - Hideaway,41,,28,,3944528,97212272
PARTYNEXTDOOR - BELIEVE IT,12,,22,,15809393,97145552
Ed Sheeran - What Do I Know?,14,,14,,20428343,96973016
Calboy - Envy Me,17,,92,,6725641,96770086
Luke Christopher - Lot to Learn,20,,60,,6341248,96688144
BeyoncÃ© - Drunk in Love,48,,11,,4070089,96556083
Drake - Know Yourself,44,,28,,4613145,96483912
Don Omar - Te Quiero PaÂ´Mi,27,,140,,3962918,96399513
Billie Eilish - xanny,12,,13,,20257146,96374570
Peso Pluma - Siempre Pendientes,13,,97,,8020928,96368321
Kanye West - Runaway,11,,138,,9511283,96348431
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,26,,90,,4421273,96311281
Drake - Slime You Out,6,1.0,6,,28320714,96292047
BTS - Into the Sun,6,,20,,26559365,96215703
Jeremih - oui,30,,65,,4380356,96205176
Victor Valverde - El Mayor De Los Ranas,10,,109,,10651040,96188710
j-hope - MONA LISA,8,,27,,19945329,96127377
Bad Bunny - NI BIEN NI MAL,14,,56,,8693828,95916899
Myke Towers - Si Se Da - Remix,16,,68,,7608980,95855837
Fifth Harmony - Down,15,,52,,8522249,95651595
V - Rainy Days,8,,20,,19509076,95570340
Kylie Minogue - Santa Baby,13,,52,,12182973,95564875
Emmy Meli - I AM WOMAN,12,,51,,9269736,95524954
"Lil Baby - Never Recover (Lil Baby & Gunna, Drake)",14,,27,,12999466,95283224
Jimin - Smeraldo Garden Marching Band,5,,13,,30973712,95226945
Dalex - Bellaquita - Remix,15,,91,,7088433,95205599
Kendrick Lamar - peekaboo,7,,30,,21910464,95150184
The Lumineers - Ophelia,39,,81,,3705255,95038648
Miley Cyrus - Mother's Daughter,12,,18,,14567926,94985652
Â¥$ - BURN,7,,21,,19646355,94908215
Sabrina Carpenter - A Nonsense Christmas,6,,37,,24883797,94809891
Tom Grennan - Little Bit of Love,16,,110,,6473757,94763591
Daddy Yankee - Shaky Shaky,29,,80,,4397105,94564140
